NATURES OF CRIMES,"CASENUMBERS",DATE/TIME REPORTED,"DATE/TIMEOCCURRED"
Hazardous Elevator,19-1531,12/17/2019 2:33pm,12/17/2019 1:45pm,Howard University Hospital
Fire Alarm Activation,19-1532,12/17/2019 5:44pm,12/17/2019 5:44pm,Bethune Annex
Theft From Auto,19-1533,12/17/2019 9:18pm,12/17/2019 9:18pm,2400 Block 6th Street NW
Damaged Property,19-1534,12/19/2019 10:17am,12/19/2019 10:17am,HU Service Center
Simple Assault,19-1535,12/19/2019 10:30am,12/19/2019 10:00am,Howard University Hospital
Found Property,19-1536,12/19/2019 11:59pm,12/19/2019 11:59pm,HU Service Center
Disorderly Conduct,19-1537,12/20/2019 5:44pm,12/20/2019 3:57pm,Howard University Hospital
Disorderly Conduct,19-1538,12/20/2019 9:55pm,12/20/2019 9:55pm,Howard University Hospital
Miscellaneous,19-1539,12/21/2019 3:03pm,12/21/2019 2:40am,Carnegie Hall
Domestic Violence,19-1540,12/22/2019 5:50am,12/22/2019 5:50am,6th & Bryant Street NW
Injured Person,19-1541,12/22/2019 2:04pm,12/22/2019 12:00pm,Burr Gym
Injured Person,19-1542,12/24/2019 5:44am,12/24/2019 5:44am,Howard University Hospital
Suspicious Vehicle,19-1543,12/26/2019 1:28am,12/26/2019 1:28am,Founders Lot
Lost Property,19-1544,12/26/2019 7:22pm,12/26/2019 6:00pm,Howard University Hospital
Theft 2,19-1545,12/26/2019 9:00pm,12/26/2019 5:30pm,Howard University Hospital
Stalking,19-1546,12/26/2019 11:35pm,12/26/2019 11:35pm,Howard University Hospital
Found Property,19-1547,12/27/2019 3:29am,12/27/2019 2:01am,Howard Plaza Towers East
Damaged Property,19-1548,12/27/2019 8:03am,12/27/2019 8:00am,Howard Plaza Towers East
Damaged Property,19-1549,12/30/2019 4:47pm,12/30/2019 4:30pm,A-1 Rear Parking Lot
Unlawful Entry,19-1550,12/31/2019 8:36am,12/31/2019 8:36am,Howard University Hospital
Theft From Auto,19-1551,12/31/2019 2:19pm,12/31/2019 1:40pm,A-2 Garage
Destruction of Property,19-1552,12/31/2019 3:21pm,12/31/2019 1:40pm,A-2 Garage
Disorderly Conduct,19-1553,12/31/2019 7:23pm,12/31/2019 7:23pm,Howard University Hospital
