natures_of_crimes,case_numbers,date_reported,time_reported,date_occurred,time_occurred,general_location,disposition,year_reported,year_occured
Lost Property,17-0735,NA,12:19pm,NA,11:40am,howard university hospital ,inactive,NA,NA
Theft from Auto,17-0736,NA,1:12pm,NA,1:20pm,upper campus ,active,NA,NA
Theft from Auto,17-0737,NA,3:16pm,NA,3:20pm,ga. ave nw & 5th & w st nw ,active,NA,NA
Found Property,17-0738,NA,3:40pm,NA,3:40pm,off campus ,inactive,NA,NA
Sick Person,17-0739,NA,6:21pm,NA,6:21pm,howard university hospital ,inactive,NA,NA
Found Property,17-0740,NA,9:17pm,NA,9:00pm,howard university hospital ,inactive,NA,NA
Miscellaneous,17-0741,NA,7:58am,NA,8:00am,middle school ,inactive,NA,NA
Sick Person,17-0742,NA,10:43am,NA,10:35am,howard university hospital ,inactive,NA,NA
Suspicious Odor,17-0743,NA,10:33am,NA,10:33am,engineering building ,active,NA,NA
Miscellaneous,17-0744,NA,11:04am,NA,11:05am,slowe hall ,inactive,NA,NA
Lost Property,17-0745,NA,2:02pm,NA,2:05pm,howard university hospital ,inactive,NA,NA
Student Misconduct,17-0746,NA,8:00pm,NA,7:55pm,bethune annex ,active,NA,NA
Lost Property,17-0747,NA,8:11am,NA,8:12am,service center ,inactive,NA,NA
Damaged Property,17-0748,NA,12:58pm,NA,12:58pm,rankin chapel ,inactive,NA,NA
Sick Person,17-0749,NA,1:43pm,NA,12:50pm,howard university hospital ,inactive,NA,NA
Suspicious Package,17-0750,NA,2:34pm,NA,2:34pm,college of dentistry ,active,NA,NA
Miscellaneous,17-0751,NA,5:12pm,NA,4:20pm,student health clinic ,inactive,NA,NA
Fire Alarm Activation,17-0752,NA,6:09pm,NA,6:17pm,administration building ,inactive,NA,NA
NO Report,17-0753,NA,NA,NA,NA,NA,NA,NA,NA
Fire Alarm Activation,17-0754,NA,9:59am,NA,10:00am,administration building ,inactive,NA,NA
Simple Assault,17-0755,NA,1:31pm,NA,1:08pm,howard university hospital ,active,NA,NA
Unlawful Entry,17-0756,NA,6:09pm,NA,6:10pm,slowe hall ,active,NA,NA
Assault on a Police Officer,17-0757,NA,6:10pm,NA,5:23pm,howard university hospital ,active,NA,NA
Theft 2,17-0758,NA,7:32pm,NA,5:25pm,howard university hospital ,active,NA,NA
Unlawful Entry,17-0759,NA,2:54am,NA,2:54am,engineering building ,active,NA,NA
Sick Person,17-0760,NA,1:10pm,NA,12:58pm,howard university hospital ,inactive,NA,NA
Unlawful Entry,17-0761,NA,10:18pm,NA,10:18pm,old sub-station ,active,NA,NA
Fire Alarm Activation,17-0762,NA,12:05am,NA,12:05am,administration building ,inactive,NA,NA
Damaged Property,17-0763,NA,12:05am,NA,12:05am,girard street nw ,inactive,NA,NA
Lost Property,17-0764,NA,3:21pm,NA,3:20pm,engineering building ,inactive,NA,NA
Lost Property,17-0765,NA,8:40am,NA,8:47am,c.b. powell building ,inactive,NA,NA
Hazardous Water Leak,17-0766,NA,6:18pm,NA,6:18pm,administration building ,inactive,NA,NA
Sick Person,17-0767,NA,5:37pm,NA,3:34pm,howard university hospital ,inactive,NA,NA
NO Report,17-0768,NA,NA,NA,NA,NA,NA,NA,NA
Theft 2,17-0769,NA,3:47pm,NA,3:50pm,howard university service cen ,active,NA,NA
Fire Alarm Activation,17-0770,NA,9:21am,NA,9:20am,hurb-1 ,inactive,NA,NA
NO Report,17-0771,NA,NA,NA,NA,NA,NA,NA,NA
Fire Alarm Activation,17-0772,NA,12:42pm,NA,12:03pm,howard university ,inactive,NA,NA
Theft from Auto,17-0773,NA,1:04pm,NA,1:07pm,lower campus ,active,NA,NA
Miscellaneous,17-0774,NA,8:25pm,NA,7:38pm,howard university hospital ,inactive,NA,NA
Fire Alarm Activation,17-0775,NA,7:11am,NA,7:05am,hurb-1,inactive,NA,NA
Damaged Property,17-0776,NA,12:04pm,NA,11:46am,student health clinic,inactive,NA,NA
Sick Person,17-0777,NA,5:17pm,NA,5:00pm,howard university,inactive,NA,NA
Miscellaneous,17-0778,NA,11:30pm,NA,11:40pm,cook hall,inactive,NA,NA
Found Property,17-0779,NA,11:30pm,NA,11:40pm,howard university hospital,inactive,NA,NA
NO Report,17-0780,NA,NA,NA,NA,,NA,NA,NA
Burglary 2,17-0781,NA,1:32pm,NA,1:00pm,howard plaza towers,active,NA,NA
Fire Alarm Activation,17-0782,NA,1:54pm,NA,1:54pm,howard plaza towers,inactive,NA,NA
Miscellaneous,17-0783,NA,7:42pm,NA,7:07pm,wonder plaza,inactive,NA,NA
NO Report,17-0784,NA,NA,NA,NA,,NA,NA,NA
Lost Property,17-0785,NA,11:05am,NA,7:15am,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0786,NA,3:20pm,NA,3:20pm,wonder plaza,inactive,NA,NA
Found Property,17-0787,NA,8:51am,NA,8:30am,off campus,inactive,NA,NA
Miscellaneous,17-0788,NA,9:40am,NA,10:00am,middle school,inactive,NA,NA
Damaged Property,17-0789,NA,2:42pm,NA,1:52pm,howard university hospital,inactive,NA,NA
Simple Assault,17-0790,NA,6:01pm,NA,5:03pm,howard university hospital,active,NA,NA
Fire Alarm Activation,17-0791,NA,6:15am,NA,6:15am,college hall south,inactive,NA,NA
Found Property,17-0792,NA,8:31am,NA,8:31am,bethune annex,inactive,NA,NA
Theft 2,17-0793,NA,10:53am,NA,11:01am,college of dentistry,active,NA,NA
Found Property,17-0794,NA,12:45pm,NA,12:24pm,howard university hospital,inactive,NA,NA
Lost Property,17-0795,NA,5:56pm,NA,5:56pm,blackburn center,inactive,NA,NA
Sick Person,17-0796,NA,5:56pm,NA,5:56pm,howard university hospital,inactive,NA,NA
Damaged Property,17-0797,NA,8:28am,NA,9:00am,west campus,inactive,NA,NA
Fire Alarm Activation,17-0798,NA,9:11am,NA,9:11am,bethune annex,inactive,NA,NA
Miscellaneous,17-0799,NA,3:52pm,NA,2:24pm,howard university hospital,inactive,NA,NA
Sick Person,17-0800,NA,8:48pm,NA,8:48pm,howard plaza towers east,inactive,NA,NA
Fire Alarm Activation,17-0801,NA,9:27am,NA,9:27am,dental school,inactive,NA,NA
Unlawful Entry,17-0802,NA,9:44am,NA,9:44am,founders library,active,NA,NA
Found Property,17-0803,NA,1:14pm,NA,11:10am,howard university hospital,inactive,NA,NA
Theft from Auto,17-0804,NA,1:00pm,NA,1:00pm,6th & girard street nw,active,NA,NA
Damaged Property,17-0805,NA,2:29pm,NA,11:23am,howard university hospital,inactive,NA,NA
Disorderly Conduct,17-0806,NA,1:06am,NA,1:06am,howard university hospital,active,NA,NA
Damaged Property,17-0807,NA,5:05am,NA,4:30am,howard university hospital,inactive,NA,NA
Miscellaneous,17-0808,NA,10:52pm,NA,10:45pm,lower campus,inactive,NA,NA
Sick Transport,17-0809,NA,11:00pm,NA,10:45pm,howard plaza towers east,inactive,NA,NA
Fire Alarm Activation,17-0810,NA,11:56pm,NA,11:56pm,bethune annex,inactive,NA,NA
Fire Alarm Activation,17-0811,NA,9:41am,NA,9:36am,howard university hospital,inactive,NA,NA
Miscellaneous,17-0812,NA,2:11pm,NA,1:35pm,howard university hospital,active,NA,NA
Miscellaneous,17-0813,NA,2:27pm,NA,1:57pm,howard university hospital,inactive,NA,NA
Barring Notice,17-0814,NA,3:21pm,NA,3:05pm,hu service center,active,NA,NA
Theft 1,17-0815,NA,6:01pm,NA,2:00pm,college of dentistry,active,NA,NA
Miscellaneous,17-0816,NA,6:41pm,NA,6:41pm,howard plaza towers east,active,NA,NA
Miscellaneous,17-0817,NA,11:29am,NA,11:29am,hu service center,active,NA,NA
Theft from Auto,17-0818,NA,12:25pm,NA,12:08pm,just lot,inactive,NA,NA
Vehicle Accident,17-0819,NA,5:54pm,NA,5:54pm,"2000 ga. ave., nw,",active,NA,NA
Found Property,17-0820,NA,4:50pm,NA,4:50pm,college hall south,inactive,NA,NA
Student Misconduct,17-0821,NA,9:02pm,NA,9:02pm,howard plaza towers,active,NA,NA
Theft 2,17-0822,NA,12:05pm,NA,12:00pm,college of dentistry,active,NA,NA
Fire Alarm Activation,17-0823,NA,2:36pm,NA,2:07pm,howard university hospital,inactive,NA,NA
Student Misconduct,17-0824,NA,1:11pm,NA,12:459m,early learning center,active,NA,NA
Disorderly Conduct,17-0825,NA,1:17pm,NA,1:17pm,mental health clinic,active,NA,NA
Miscellaneous,17-0826,NA,2:59pm,NA,2:59pm,bookstore,inactive,NA,NA
Destruction of Property,17-0827,NA,4:00pm,NA,3:00pm,college of dentistry,active,NA,NA
Fire Alarm Activation,17-0828,NA,6:59pm,NA,6:52pm,howard plaza towers east,inactive,NA,NA
Lost Property,17-0829,NA,9:58am,NA,9:08am,howard university hospital,inactive,NA,NA
Miscellaneous,17-0830,NA,10:47am,NA,10:33am,howard university hospital,inactive,NA,NA
Miscellaneous,17-0831,NA,4:03am,NA,3:30am,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0832,NA,3:21am,NA,3:21am,quadrangle hall,inactive,NA,NA
Damaged Property,17-0833,NA,10:54am,NA,11:00am,upper campus,inactive,NA,NA
Fire Alarm Activation,17-0834,NA,6:35am,NA,6:35am,hurb-1,inactive,NA,NA
Fire Alarm Activation,17-0835,NA,8:19am,NA,8:19am,hurb-1,inactive,NA,NA
Barring Notice,17-0836,NA,10:21am,NA,10:21am,college of dentistry,active,NA,NA
Damaged Property,17-0837,NA,10:40am,NA,6:00pm,wonder plaza lot,inactive,NA,NA
Miscellaneous,17-0838,NA,3:18pm,NA,12:56pm,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0839,NA,12:27pm,NA,12:27pm,hurb-1,inactive,NA,NA
Theft from Auto,17-0840,NA,3:45pm,NA,3:45pm,900 barry pl,active,NA,NA
Student Misconduct,17-0841,NA,4:40pm,NA,4:40pm,howard plaza towers east,active,NA,NA
Miscellaneous,17-0842,NA,11:34am,NA,11:34am,lower campus,inactive,NA,NA
Theft 2,17-0843,NA,5:17pm,NA,11:30pm,hu service center,active,NA,NA
Unlawful Entry,17-0844,NA,9:48pm,NA,9:00pm,howard university hospital,active,NA,NA
Theft 2,17-0845,NA,11:16pm,NA,10:00pm,howard university hospital,active,NA,NA
Fire Alarm Activation,17-0846,NA,11:21am,NA,11:21am,administration building,inactive,NA,NA
Miscellaneous,17-0847,NA,9:01pm,NA,8:10pm,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0848,NA,11:45pm,NA,11:45pm,administration building,inactive,NA,NA
Health & Welfare Check,17-0849,NA,11:06pm,NA,11:06pm,howard plaza towers east,active,NA,NA
Miscellaneous,17-0850,NA,2:31pm,NA,12:05pm,howard university hospital,inactive,NA,NA
Disorderly Conduct,17-0851,NA,3:25am,NA,3:05am,howard university hospital,active,NA,NA
Disorderly Conduct,17-0852,NA,8:49am,NA,3:00pm,howard university hospital,active,NA,NA
Disorderly Conduct,17-0853,NA,1:42pm,NA,1:42pm,lower campus,active,NA,NA
Student Misconduct,17-0854,NA,6:49pm,NA,6:49pm,c.b. powell bldg.,active,NA,NA
Lost Property,17-0855,NA,8:33am,NA,8:33am,hu service center,inactive,NA,NA
Fire Alarm Activation,17-0856,NA,8:00am,NA,8:00am,west campus,inactive,NA,NA
Fire Alarm Activation,17-0857,NA,1:46pm,NA,1:46pm,howard university hospital,inactive,NA,NA
Miscellaneous,17-0858,NA,12:43pm,NA,12:43pm,fine arts,inactive,NA,NA
Fire Alarm Activation,17-0859,NA,1:48pm,NA,1:40pm,administration building,inactive,NA,NA
Miscellaneous,17-0860,NA,3:41pm,NA,3:41pm,college of dentistry,active,NA,NA
Barring Notice,17-0861,NA,9:47pm,NA,9:40pm,banneker north parking lot,active,NA,NA
Miscellaneous,17-0862,NA,5:02pm,NA,5:02pm,2100 block georgia ave. nw,inactive,NA,NA
Fire Alarm Activation,17-0863,NA,11:31pm,NA,11:31pm,administration building,inactive,NA,NA
Verbal Dispute,17-0864,NA,12:31pm,NA,10:05am,howard university hospital,active,NA,NA
Damaged Property,17-0865,NA,3:43pm,NA,1:00pm,east towers parking lot,inactive,NA,NA
Sexual Assault,17-0866,NA,5:01pm,NA,4:46pm,howard university hospital,active,NA,NA
Miscellaneous,17-0867,NA,11:08pm,NA,11:08pm,howard university hospital,inactive,NA,NA
Lost Property,17-0868,NA,2:39pm,NA,1:34pm,howard university hospital,inactive,NA,NA
Found Property,17-0869,NA,7:04pm,NA,6:00pm,founders library,inactive,NA,NA
Damaged Property,17-0870,NA,10:00am,NA,9:30am,howard university hospital,inactive,NA,NA
Disorderly Conduct,17-0871,NA,10:08am,NA,9:18am,howard university hospital,active,NA,NA
Sick Person,17-0872,NA,12:54pm,NA,12:54pm,carnegie hall,inactive,NA,NA
Theft 2,17-0873,NA,1:49pm,NA,1:23pm,howard university hospital,active,NA,NA
Simple Assault,17-0874,NA,8:33pm,NA,8:00pm,howard university hospital,active,NA,NA
Injured Person,17-0875,NA,9:54pm,NA,9:26pm,howard university hospital,inactive,NA,NA
Hazardous Elevator,17-0876,NA,8:38am,NA,8:38am,c.b powell bldg.,inactive,NA,NA
Unlawful Entry,17-0877,NA,9:44pm,NA,9:44pm,engineering building,active,NA,NA
Vehicle Accident,17-0878,NA,4:40pm,NA,4:40pm,2300 4th st. nw,active,NA,NA
Unlawful Entry,17-0879,NA,9:56pm,NA,8:45pm,howard university hospital,active,NA,NA
Sick Person,17-0880,NA,1:57am,NA,1:57am,drew hall,inactive,NA,NA
Damaged Property,17-0881,NA,9:58am,NA,9:30am,howard university hospital,inactive,NA,NA
Damaged Property,17-0882,NA,11:13am,NA,10:55am,burr gym,inactive,NA,NA
theft 2,17-0883,NA,2:04pm,NA,2:05pm,mudd bldg.,active,NA,NA
Fire Alarm Activation,17-0884,NA,9:36pm,NA,9:36pm,college hall north,inactive,NA,NA
Recovered Property,17-0885,NA,12:47pm,NA,12:47pm,college hall north,inactive,NA,NA
Eloped Patient,17-0886,NA,4:23am,NA,4:23am,howard university hospital,inactive,NA,NA
Unlawful Entry,17-0887,NA,8:10am,NA,8:10am,c.b. powell building,active,NA,NA
Injured Person,17-0888,NA,9:52am,NA,9:52am,howard university hospital,active,NA,NA
Sick Person,17-0889,NA,2:54pm,NA,2:20pm,howard university hospital,inactive,NA,NA
Lost Property,17-0890,NA,3:50pm,NA,7:37am,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0891,NA,12:42pm,NA,12:42pm,college hall south,inactive,NA,NA
Disorderly Conduct,17-0892,NA,2:00pm,NA,1:55pm,howard university hospital,active,NA,NA
Miscellaneous,17-0893,NA,11:35pm,NA,11:35pm,physic building,inactive,NA,NA
Miscellaneous,17-0894,NA,10:58pm,NA,9:30pm,howard university hospital,active,NA,NA
Injured Person,17-0895,NA,12:16pm,NA,12:16pm,upper campus,active,NA,NA
Barring Notice,17-0896,NA,1:37pm,NA,11:50am,howard university hospital,active,NA,NA
Vehicle Accident,17-0897,NA,2:04pm,NA,2:04pm,upper campus,active,NA,NA
Vehicle Accident,17-0898,NA,8:44pm,NA,8:44pm,truth hall,inactive,NA,NA
Unlawful Entry,17-0899,NA,5:19am,NA,4:30am,howard university hospital,active,NA,NA
Harassment,17-0900,NA,11:10am,NA,11:10am,howard center,active,NA,NA
Fire Alarm Activation,17-0901,NA,1:52pm,NA,1:52pm,burr gymnasium,inactive,NA,NA
Disorderly Conduct,17-0902,NA,11:40pm,NA,9:40pm,howard university hospital,active,NA,NA
NO Report,17-0903,NA,NA,NA,NA,,NA,NA,NA
Destruction of Property,17-0904,NA,8:20am,NA,8:00am,burr gymnasium,active,NA,NA
Fire Alarm Activation,17-0905,NA,11:42am,NA,11:42am,whut,inactive,NA,NA
Found Property,17-0906,NA,1:13pm,NA,1:13pm,howard university hospital,inactive,NA,NA
Damaged Property,17-0907,NA,2:49pm,NA,2:49pm,howard university hospital,inactive,NA,NA
Hazardous Water Leak,17-0908,NA,6:16pm,NA,6:16pm,engineering building,inactive,NA,NA
Fire Alarm Activation,17-0909,NA,8:34pm,NA,8:34pm,college hall south,inactive,NA,NA
Hazardous Water Leak,17-0910,NA,12:15am,NA,12:15am,administration building,inactive,NA,NA
Fire Alarm Activation,17-0911,NA,5:54am,NA,5:54am,miner building ,inactive,NA,NA
Destruction of Property,17-0912,NA,11:12am,NA,10:00am,lower campus ,active,NA,NA
Lost Property,17-0913,NA,2:17pm,NA,10:00pm,college hall south ,inactive,NA,NA
Simple Assault,17-0914,NA,5:05pm,NA,5:05pm,howard university hospital ,active,NA,NA
Lost Property,17-0915,NA,6:28pm,NA,12:15pm,howard university hospital ,inactive,NA,NA
Damaged Property,17-0916,NA,8:16pm,NA,5:50pm,a-1 garage ,inactive,NA,NA
Miscellaneous,17-0917,NA,9:26pm,NA,8:00am,stokes courtyard ,inactive,NA,NA
Fire Alarm Activation,17-0918,NA,12:28am,NA,12:28am,miner building ,inactive,NA,NA
Theft 2,17-0919,NA,6:59pm,NA,6:45pm,howard plaza towers ,active,NA,NA
Damaged Property,17-0920,NA,7:49pm,NA,7:49pm,main gate ,inactive,NA,NA
Disorderly Conduct,17-0921,NA,3:46am,NA,3:31am,howard university hospital ,active,NA,NA
Theft 2,17-0922,NA,10:04am,NA,8:40pm,drew hall ,active,NA,NA
Hazardous Elevator,17-0923,NA,12:06pm,NA,12:06pm,administration building ,inactive,NA,NA
Theft 2,17-0924,NA,3:55pm,NA,3:50pm,600 block of w street nw ,active,NA,NA
Damaged Property,17-0925,NA,5:56pm,NA,5:56pm,a-1 rear parking lot ,inactive,NA,NA
Damaged Property,17-0926,NA,7:40pm,NA,6:50pm,mackey lot ,inactive,NA,NA
Simple Assault,17-0927,NA,8:47pm,NA,8:15pm,howard university hospital ,active,NA,NA
Lost Property,17-0928,NA,10:11am,NA,1:00am,off campus ,inactive,NA,NA
Miscellaneous,17-0929,NA,9:11pm,NA,3:26pm,howard university hospital ,inactive,NA,NA
Sick Person,17-0930,NA,11:29am,NA,11:29am,howard university hospital ,inactive,NA,NA
Sick Person,17-0931,NA,12:33pm,NA,12:00pm,howard university hospital ,inactive,NA,NA
Damaged Property,17-0932,NA,12:15pm,NA,11:20am,a-1 rear parking lot ,inactive,NA,NA
Miscellaneous,17-0933,NA,12:58pm,NA,11:57am,howard university hospital ,inactive,NA,NA
Hazardous Water Leak,17-0934,NA,12:16am,NA,12:16am,engineering building ,inactive,NA,NA
Fire Alarm Activation,17-0935,NA,4:57am,NA,4:57am,whut ,inactive,NA,NA
Found Property,17-0936,NA,9:12am,NA,8:49am,college hall south ,inactive,NA,NA
Found Property,17-0937,NA,1:33pm,NA,1:13pm,miner building ,inactive,NA,NA
Harassment,17-0938,NA,7:28pm,NA,6:00pm,off campus ,active,NA,NA
Fire Alarm Activation,17-0939,NA,3:37am,NA,3:37am,i-lab ,inactive,NA,NA
Damaged Property,17-0940,NA,5:09am,NA,5:09am,subway restaurant ,inactive,NA,NA
Barring Notice,17-0941,NA,1:16pm,NA,1:16pm,howard university service cen ,active,NA,NA
Lost Property,17-0942,NA,1:25pm,NA,6:00pm,administration building ,inactive,NA,NA
Hazardous Elevator,17-0943,NA,1:30pm,NA,1:30pm,bethune annex ,inactive,NA,NA
Sick Person,17-0944,NA,8:59pm,NA,8:55pm,blackburn center ,inactive,NA,NA
Injured Person,17-0945,NA,7:37am,NA,7:15am,howard university service cen ,inactive,NA,NA
Unlawful Entry,17-0946,NA,10:04am,NA,10:04am,howard university hospital ,active,NA,NA
Miscellaneous,17-0947,NA,2:42pm,NA,2:42pm,howard hall ,active,NA,NA
Miscellaneous,17-0948,NA,3:43am,NA,3:20am,howard university hospital ,inactive,NA,NA
Simple Assault,17-0949,NA,10:38am,NA,10:10am,howard university hospital ,active,NA,NA
Barring Notice,17-0950,NA,11:40am,NA,10:30am,howard university hospital ,active,NA,NA
Simple Assault,17-0951,NA,3:57pm,NA,3:57pm,hurb i ,active,NA,NA
Fire Alarm Activation,17-0952,NA,9:43pm,NA,9:43pm,wonder plaza ,inactive,NA,NA
Hazardous Water Leak,17-0953,NA,12:21am,NA,12:21am,mudd building ,inactive,NA,NA
Hazardous Water Leak,17-0954,NA,1:42am,NA,1:42am,west campus ,inactive,NA,NA
Miscellaneous,17-0955,NA,8:34am,NA,8:15am,howard university hospital ,inactive,NA,NA
Suspicious Package,17-0956,NA,9:16am,NA,9:16am,howard plaza towers east ,active,NA,NA
Fire Alarm Activation,17-0957,NA,5:48am,NA,5:48am,middle school ,inactive,NA,NA
Lost Property,17-0958,NA,2:21pm,NA,2:21pm,quadrangle ,inactive,NA,NA
Hazardous Water Leak,17-0959,NA,7:46pm,NA,7:46pm,wonder plaza ,inactive,NA,NA
Damaged Property,17-0960,NA,8:40am,NA,8:35am,whur ,inactive,NA,NA
Miscellaneous,17-0961,NA,2:21pm,NA,12:00pm,bookstore ,inactive,NA,NA
Lost Property,17-0962,NA,3:58pm,NA,2:00pm,howard university hospital ,inactive,NA,NA
Miscellaneous,17-0963,NA,7:10pm,NA,4:10pm,howard university hospital ,inactive,NA,NA
Verbal Dispute,17-0964,NA,11:46pm,NA,11:10pm,howard university hospital ,active,NA,NA
Damaged Property,17-0965,NA,8:42am,NA,3:45pm,howard university service cen ,inactive,NA,NA
Lost Property,17-0966,NA,8:59pm,NA,5:00pm,howard university hospital ,inactive,NA,NA
Sick Person,17-0967,NA,10:33am,NA,10:28am,howard university hospital ,inactive,NA,NA
Sexual Assault,17-0968,NA,5:35pm,NA,11:00pm,howard plaza towers west ,active,NA,NA
Hazardous Water Leak,17-0969,NA,12:17pm,NA,12:17pm,howard university hospital ,inactive,NA,NA
Hazardous Water Leak,17-0970,NA,2:26pm,NA,2:00pm,howard university hospital ,inactive,NA,NA
Found Property,17-0971,NA,4:31pm,NA,4:31pm,wonder plaza ,inactive,NA,NA
Hazardous Water Leak,17-0972,NA,3:44pm,NA,3:44pm,mudd building ,inactive,NA,NA
Fire Alarm Activation,17-0973,NA,5:14pm,NA,5:14pm,stokes library ,inactive,NA,NA
Burglary 2,17-0974,NA,4:04pm,NA,3:45pm,bethune annex ,active,NA,NA
Simple Assault,17-0975,NA,11:40pm,NA,11:10pm,howard university hospital ,active,NA,NA
Hazardous Elevator,17-0976,NA,3:30am,NA,3:20am,howard university hospital ,inactive,NA,NA
Theft 2,17-0977,NA,2:17pm,NA,2:03pm,howard university hospital ,active,NA,NA
Miscellaneous,17-0978,NA,3:06pm,NA,1:30pm,mudd building ,inactive,NA,NA
Burglary 2,17-0979,NA,6:31pm,NA,6:25pm,sculpture studio,active,NA,NA
Indecent Exposure,17-0980,NA,9:34pm,NA,8:34am,howard university hospital,active,NA,NA
Miscellaneous,17-0981,NA,1:21am,NA,1:21am,7th and florida ave,inactive,NA,NA
Miscellaneous,17-0982,NA,4:03am,NA,3:30am,howard plaza towers east,inactive,NA,NA
Threats,17-0983,NA,11:58am,NA,11:58am,2600 block 6th street,inactive,NA,NA
Student Misconduct,17-0984,NA,5:55pm,NA,5:55pm,college hall south,active,NA,NA
Damaged Property,17-0985,NA,9:12am,NA,9:12am,9th and v street,inactive,NA,NA
Vehicle Accident,17-0986,NA,10:59am,NA,10:59am,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0987,NA,2:50pm,NA,2:50pm,burr gymnasium,inactive,NA,NA
Damaged Property,17-0988,NA,6:35pm,NA,5:30pm,howard university hospital,inactive,NA,NA
Lost Property,17-0989,NA,7:39pm,NA,5:45pm,howard plaza east,inactive,NA,NA
Disorderly Conduct,17-0990,NA,1:19am,NA,12:40am,howard university hospital,active,NA,NA
Sick Person,17-0991,NA,10:36am,NA,10:36am,lower campus,inactive,NA,NA
Destruction of Property,17-0992,NA,11:31am,NA,8:30am,locke hall,active,NA,NA
Sick Transport,17-0993,NA,11:39am,NA,11:39am,student health center,inactive,NA,NA
Sick Person,17-0994,NA,12:08pm,NA,12:08pm,main gate,inactive,NA,NA
Sick Person,17-0995,NA,12:52pm,NA,12:52pm,student health center,inactive,NA,NA
Sick Person,17-0996,NA,4:31pm,NA,4:31pm,student health center,inactive,NA,NA
Miscellaneous,17-0997,NA,6:14pm,NA,1:30pm,howard university hospital,active,NA,NA
Damaged Property,17-0998,NA,7:57pm,NA,7:57pm,a-1 garage,inactive,NA,NA
Miscellaneous,17-0999,NA,7:40pm,NA,7:30pm,hurb i,inactive,NA,NA
Miscellaneous,17-1000,NA,8:17am,NA,7:45am,administration building,inactive,NA,NA
Damaged Property,17-1001,NA,9:03am,NA,7:58am,hu service center,inactive,NA,NA
Lost Property,17-1002,NA,12:09pm,NA,12:09pm,hu service center,inactive,NA,NA
Theft 2,17-1003,NA,8:33pm,NA,4:13pm,howard university hospital,inactive,NA,NA
Hazardous Elevator,17-1004,NA,6:48am,NA,6:48am,college of dentistry,inactive,NA,NA
Barring Notice,17-1005,NA,12:30pm,NA,12:30pm,off campus,active,NA,NA
Found Property,17-1006,NA,2:55pm,NA,2:55pm,childers lot,inactive,NA,NA
Simple Assault,17-1007,NA,7:57pm,NA,3:11pm,howard university hospital,active,NA,NA
Theft 2,17-1008,NA,9:55pm,NA,8:20pm,howard university hospital,active,NA,NA
Hazardous water leak,17-1009,NA,12:35am,NA,12:20am,bethune annex,inactive,NA,NA
Panhandling,17-1010,NA,10:14am,NA,10:14am,howard university hospital,active,NA,NA
Damaged Property,17-1011,NA,3:14pm,NA,3:07pm,florida ave. lot,inactive,NA,NA
