report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition,year_occured,year_reported
2017-08-27,drug violation, a student wasfound in possession of marijuana,17-001168,2017-08-27,2113,reynolds hall,case referred to studentconduct,2017,2017
2017-08-28,theft, a student reported the theftof us currency,17-001173,2017-08-28,1204,village c west,case pending investigation,2017,2017
2017-08-28,theft, a student reported the theftof personal property,17-001174,2017-08-24,1600,village a,case pending investigation,2017,2017
2017-08-29,alcohol violation, a underagestudent was in possession of aopen container of beer,17-001180,2017-08-29,0038,library walk,case referred to studentconduct,2017,2017
2017-08-29,theft, a hoya kids parent reportedthe theft of a stroller,17-001182,2017-08-29,0810,poulton hall,case pending investigation,2017,2017
2017-08-29,theft, a student reported the theftof a cellular phone,17-001185,2017-08-29,1530,new south hall,case pending investigation,2017,2017
2017-08-29,drug violation, a student wasfound in possession of marijuana,17-001186,2017-08-29,2131,reynolds hall,case referred to studentconduct,2017,2017
2017-08-31,theft, a gu student reported thetheft of a bicycle,17-001194,2017-08-30,0800,o'donovan hall,case pending investigation,2017,2017
2017-08-31,theft, a gu staff member reportedthe theft of a chair,17-001197,2017-08-31,1353,leavey center,case pending investigation,2017,2017
2017-08-31,identity theft, a officer stopped asuspicious person that presentedan identification with the name ofan known gu affiliate,17-001199,2017-08-31,1506,med dent,case pending investigation,2017,2017
2018-08-03,theft, a  gu affiliate reported thetheft of a laptop,18-000993,2018-08-02,0830,mccarthy hall,case pending investigation,2018,2018
2018-08-04,theft, a  gu affiliate reported thetheft of personal property,18-000994,2018-08-04,1530,healy familystudent center,case pending investigation/ unfounded property waslocated,2018,2018
2018-08-06,assault, a student reported thatthey were physically assaulted  andthreatened,18-001012,2018-08-05,1200,alumni square,case pending investigation,2018,2018
2018-08-06,dv aggravated assault, a studentreported that they were physicallyassaulted,tix-332,2018-08-05,NA,on campushousing,case pending investigation,2018,2018
2018-08-07,theft, a  gu affiliate reported thetheft of personal property,18-001005,2018-08-07,1200,pre-clinicalscience,case pending investigationhandled by mpd ccn; 18-130805,2018,2018
2018-08-08,burglary, a  staff member reportedthat an unknown suspect(s) gainedaccess to a secure area within thelibrary and attempted to pry open ainterior door.,18-001010,2018-08-08,1515,lauinger library,case pending investigation,2018,2018
2018-08-09,theft, a  student reported the theftof a bicycle,18-001013,2018-08-09,1000,o'donovan hall,case pending investigation,2018,2018
2018-08-10,theft, a  student reported the theftof electronic devices,18-001015,2018-08-10,1125,mccarthy hall,case pending investigation,2018,2018
2018-08-11,theft, a  gu affiliate reported thetheft of a wallet,18-001018,2018-08-11,1325,healy familystudent center,case pending investigation,2018,2018
2018-08-13,burglary, a  student reported thatan unknown suspect(s) gainedaccess to their unsecuredresidence and stole a television.,18-001022,2018-08-12,0800,henle village,case pending investigation,2018,2018
2018-08-15,burglary, a faculty memberreported that an unknownsuspect(s) gained access to theirsecured office and stole a laptop.,18-001028,2018-08-15,1530,davis performingarts center,case pending investigation,2018,2018
2018-08-15,burglary, a student reported thatan unknown suspect(s) gainedaccess to their secured residenceand stole golf clubs.,18-001029,2018-08-15,1700,3600 block ofprospect streetnorthwest,case pending investigation,2018,2018
2018-08-16,theft, a  gu affiliate reported thetheft of a bicycle,18-001030,2018-08-16,1520,yates field house,case pending investigation,2018,2018
2018-08-16,theft, a student reported the theftof a bicycle,18-001031,2018-08-16,1230,alumni square,case pending investigation,2018,2018
2018-08-18,drug violation, a student wasfound in possession of marijuana,18-001032,2018-08-18,0254,lisner,case referred to studentconduct,2018,2018
2018-08-18,theft, a student reported the theftof a bicycle,18-001034,2018-08-18,1830,leavey center,case pending investigation,2018,2018
2018-08-19,theft, a student reported the theftof a bicycle,18-001036,2018-08-19,1851,hariri building,case pending investigation,2018,2018
2018-08-22,uttering, a staff member reportedthat an unknown subject passed acounterfeit bill as payment forservices,18-001043,2018-08-22,1324,southwest quadgarage,case pending investigation,2018,2018
2018-08-22,theft, a staff member reported thetheft of a bicycle,18-001045,2018-08-22,1730,darnall hall,case pending investigation,2018,2018
2018-08-22,sexual assault, a student repotedthat they were sexually assaulted,tix-336,2017-12-18,NA,public propertyadjacent to oncampus (houseprospect street),case pending investigation,2017,2018
2018-08-23,burglary, a  student reported thatan unknown suspect(s) gainedaccess to a unsecured residenceand stole a couch.,18-001050,2018-08-23,1630,"3600 block of ""n""street northwest",unfounded property wasremoved by facilities andowner will be reimbursedcost,2018,2018
2018-08-23,burglary, a  student reported thatan unknown suspect(s) gainedaccess to a secured residence andstole electronic devices.,18-001051,2018-08-23,2000,"3600 block of ""n""street northwest",case pending investigation,2018,2018
2018-08-24,burglary, a  student reported thatan unknown suspect(s) gainedaccess to their secured residenceand stole a wallet.,18-001053,2018-08-24,1030,nevils kober,case pending investigationhandled by mpd ccn; 18-141377,2018,2018
2018-08-24,burglary, a  gu affiliate reportedthat an unknown suspect(s) gainedaccess to a unsecured office andstole wallets.,18-001054,2018-08-24,1400,medical & dentalbuilding,case pending investigationhandled by mpd ccn; 18-141511,2018,2018
2018-08-24,theft, a staff member reported thetheft of a cellular phone,18-001059,2018-08-24,2230,southwest quadgarage,case pending investigation,2018,2018
2018-08-25,theft, a gu affiliate reported thetheft of merchandise,18-001065,2018-08-25,1350,leavey centerbookstore,case pending investigation,2018,2018
2018-08-25,theft, a student reported the theftof personal property,18-001065,2018-08-24,1430,village c west,case pending investigation,2018,2018
2018-08-26,theft, a student reported the theftof a key,18-001070,2018-08-22,1500,alumni square,case pending investigation,2018,2018
2018-08-27,destruction of property, a gupdofficer reported that an unknownsubject vandalized the buildingwith spray paint.,18-001073,2018-08-27,0353,"village ""a""",case pending investigation,2018,2018
2018-08-29,theft, a staff member reported thetheft of clothing and shoes,18-001091,2018-08-21,2230,"building ""d""",case pending investigation,2018,2018
2018-08-29,stalking / harassment,  a studentreported that they had receivedseveral unwanted text messagesfrom an associate,18-001095,2018-08-29,2100,darnall hall,case pending investigation,2018,2018
2018-08-30,theft, a gu affiliate reported thetheft of merchandise,18-001098,2018-08-30,1010,leavey centerbookstore,case pending investigation,2018,2018
2018-08-30,drug violation, a student wasfound in possession of marijuana,18-001100,2018-08-30,1729,lisner,case referred to studentconduct,2018,2018
2018-08-31,drug violation, a student wasfound in possession of marijuana /assault,18-001110,2018-08-31,2230,lisner,case closed with onearrest ccn: 18-146400 /case referred to studentconduct,2018,2018
2019-08-02,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a laptop,19-000983,2019-08-02,0705,car barn,case pending investigationhandled by mpd ccn: 19-132965,2019,2019
2019-08-03,stolen motor scooter, a studentreported the theft of a motorscooter,19-000985,2019-08-03,0600,new south hall,case pending investigation,2019,2019
2019-08-03,stolen motor scooter, a studentreported the theft of a motorscooter,19-000986,2019-08-02,2314,thompson athleticcenter,case pending investigation,2019,2019
2019-08-03,burglary, a summer studentreported that an unknown suspectgained access to their unsecuredresidence and stole a pairheadphones and a speaker,19-000987,2019-08-03,1720,kennedy hall,case pending investigation,2019,2019
2019-08-04,burglary, a student reported that anunknown suspect gained access totheir unsecured residence and stolea wallet,19-000989,2019-08-04,2130,copley hall,case pending investigation,2019,2019
2019-08-05,fraud (identity theft), a studentreported that they were the victim ofidentity theft,19-000991,2019-08-05,1030,copley hall,case pending investigationhandled by mpd ccn: 19-137792,2019,2019
2019-08-06,burglary, a student reported that anunknown suspect gained access totheir secured residence and stole awallet and laptop,19-000995,2019-06-25,2000,1400 block 37thstreet northwest,case pending investigation,2019,2019
2019-08-07,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a figurine,19-000997,2019-08-07,0830,lauinger library,case pending investigation,2019,2019
2019-08-09,theft, a student reported the theftof a bicycle,19-001001,2019-08-09,1830,lauinger library llbike rack,case pending investigation,2019,2019
2019-08-13,theft, a staff member reported thetheft of two tents,19-001006,2019-08-12,0730,cooper field,case pending investigation,2019,2019
2019-08-14,threats, a staff member reportedthe they were verbally threatened,19-001011,2019-08-05,0800,mccarthy hall,case pending investigation,2019,2019
2019-08-14,theft, a student reported the theftof a bicycle,19-001013,2019-08-14,2400,hariri,case pending investigation,2019,2019
2019-08-15,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andattempted to steal personalproperty,19-001017,2019-08-14,1200,old north,case pending investigation,2019,2019
2019-08-16,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a laptop,19-001021,2019-08-16,0653,new north,case pending investigationhandled by mpd ccn: 19-144782,2019,2019
2019-08-18,theft, a student reported the theftof a bicycle,19-001028,2019-08-18,1900,hariri,case pending investigation,2019,2019
2019-08-18,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a laptop,19-001029,2019-08-18,1945,car barn,case pending investigationhandled by mpd ccn: 19-146504,2019,2019
2019-08-19,credit card fraud, a staff memberreported multiple unauthorizedtransactions on a university creditcard,19-001030,2019-08-09,0900,new research,case pending investigationhandled by mpd ccn: 19-146902,2019,2019
2019-08-19,credit card fraud, a staff memberreported multiple unauthorizedtransactions on a university creditcard,19-001031,2019-08-07,0900,new research,case pending investigationhandled by mpd ccn: 19-146902,2019,2019
2019-08-20,fraud, a student reported that theywere the victim of a check scam,19-001036,2019-08-20,0900,on campus,case pending investigation,2019,2019
2019-08-22,theft, a gu affiliate reported thetheft of food items,19-001042,2019-08-22,1940,darnall hall(epicureanrestaurant),complainant declined tomake criminal reportsubject was identified andbarred,2019,2019
2019-08-23,theft, a student reported the theftof a wallet,19-001044,2019-08-23,1150,mcdonoughgymnasium,case pending investigation,2019,2019
